"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003",709.879777806949,-0.367219439348399,0.10021407343006,0.000140750207357116,0.00109454839267968
"ENSG00000000419",521.155538570467,0.184340415405139,0.10773401186987,0.067461051157538,0.185851559540045
"ENSG00000000457",237.573162613185,0.0295550999075747,0.129218149802746,0.802722876682243,0.904035237142523
"ENSG00000000460",58.034962241096,-0.0507526517947168,0.211798409162863,0.741001506280576,0.871679968686733
"ENSG00000000971",5826.53778297965,0.405759606063246,0.0892318028393518,2.11372422220789e-06,2.48261622022379e-05
"ENSG00000001036",1284.52719576234,-0.230354147774777,0.0880915603556496,0.00660313568175402,0.0302055236423346
"ENSG00000001084",611.014595405357,-0.0411467195997036,0.148224295509937,0.761882535619021,0.882666845454329
"ENSG00000001167",369.980409948709,-0.470442778473931,0.119883907658229,2.62490389511525e-05,0.000245979136325989
"ENSG00000001460",183.565561362969,-0.0975278925987561,0.157093466295258,0.472893720797177,0.682862976624898
"ENSG00000001461",2819.58577464732,-0.038034838826363,0.0985298803015042,0.672474448723426,0.828894249716848
"ENSG00000001497",540.74470323996,-0.00615896809956763,0.100941090732824,0.949843232908199,0.976877641578962
"ENSG00000001561",114.306948612844,0.15901859968311,0.185228866244768,0.292083162181471,0.514314287486864
"ENSG00000001617",599.81327926346,-0.234103542985875,0.105109657887356,0.0189614643439639,0.0706756989573249
"ENSG00000001629",1783.027395702,-0.222812388017715,0.0804372818372027,0.00503568243837184,0.0241050434805939
"ENSG00000001630",54.8071703099711,0.00536371911340615,0.220589614470492,0.973715889342203,0.987098460663564
"ENSG00000001631",786.785362849215,-0.0352629000257331,0.098447886086406,0.70340575741618,0.848689345698213
"ENSG00000002016",184.180941448053,-0.265395795132859,0.150595098248318,0.0459611415680967,0.140000364136728
"ENSG00000002330",178.345798292393,0.0716174999688258,0.138119093725128,0.570060195874431,0.759778155417849
"ENSG00000002549",1255.66997191449,0.167336892106884,0.102711190344467,0.0835963396379848,0.217335786718109
"ENSG00000002586",8299.39631133115,0.082427195474032,0.0799477795706172,0.290123375068477,0.512171316612269
"ENSG00000002746",108.620125744862,0.073655756111038,0.167500200994649,0.606750765197177,0.785976926893693
"ENSG00000002822",350.393986885032,-0.140419933563578,0.123412779032402,0.213543795754954,0.420400098973811
"ENSG00000002834",7180.49667257707,0.374384218060463,0.0938229324115038,2.8606636803876e-05,0.000263753191331737
"ENSG00000002919",250.924031314052,0.360529157578946,0.1363701951268,0.00358178794738576,0.0181561859422157
"ENSG00000002933",541.125661485326,0.314231755944029,0.142332801099056,0.0136707788773825,0.0542516131633285
"ENSG00000003056",1067.09243990859,-0.0689951746351433,0.0893019312285198,0.417516943277874,0.63603140748207
"ENSG00000003096",378.746234635411,-0.907026545523306,0.144740171054177,3.81895834844603e-11,9.00276033392192e-10
"ENSG00000003137",104.789830707931,-0.732317927714413,0.307777910545713,0.00163392009423212,0.00934240014363368
"ENSG00000003249",116.596992534103,-0.219597822104382,0.175344272740895,0.136025270926387,0.310818586850382
"ENSG00000003393",852.429549715659,0.156405989747807,0.0931762856038234,0.0782778712073761,0.206797126800002
"ENSG00000003400",80.3323083343985,-0.309194854510878,0.209575178884295,0.0639365157421029,0.178694916681701
"ENSG00000003402",2549.95495576688,1.16602164928515,0.122459503320143,1.13956909918977e-22,8.75568924544137e-21
"ENSG00000003436",4477.49974992209,-0.172037241426783,0.141539265596143,0.186423907466173,0.385243577177014
"ENSG00000003509",291.314764433561,-0.0462749785364963,0.12398160945998,0.688810739437784,0.838680629075501
"ENSG00000003756",2121.2288736718,-0.177048729644025,0.0932734591574921,0.0458468442157239,0.13973605462415
"ENSG00000003987",25.5428389888975,0.745687137283785,0.394275534498233,0.00555654843742579,0.0261755543194773
"ENSG00000003989",38.4713780666898,0.279357441891011,0.310988501326321,0.130305341499249,0.301610522666881
"ENSG00000004059",1227.24827128654,0.346988500043668,0.0886002789893065,4.4473028133515e-05,0.000389339439929167
"ENSG00000004139",85.0323249230065,-0.118006304114447,0.183643121983618,0.431642357833489,0.648107895648656
"ENSG00000004142",1462.46016714284,0.132909205965388,0.0854102028805986,0.108837572142731,0.264204935210245
"ENSG00000004399",3639.91280982423,-0.0364064643020859,0.107209899016883,0.713549543585577,0.854467726772944
"ENSG00000004455",1226.82611810876,0.0240881613172968,0.112785933141982,0.819262216016345,0.913680245750102
"ENSG00000004478",467.218504627604,-0.0675588686990706,0.107034212334953,0.501515889651261,0.706170242815149
"ENSG00000004487",1240.00504962018,-0.286396176039626,0.0875073726318274,0.000642192666938761,0.00418282162500615
"ENSG00000004534",1287.59611997078,-0.177424321250237,0.0901081122200348,0.0390928966391036,0.123743221938311
"ENSG00000004660",78.2802141997583,-0.413013265634664,0.260596599367158,0.0304920822144883,0.102210986958523
"ENSG00000004700",1037.02250183428,0.341424007892203,0.101053194370251,0.000327275620440597,0.00231323091858268
"ENSG00000004766",479.751763132914,-0.0288749862732414,0.10575173704228,0.768894320075663,0.886581681093289
"ENSG00000004776",2779.66781436266,-0.0707605840186426,0.0877002922930572,0.400396571562801,0.620446452068744
